STUDENT,AIRPLANE,INSTUCTOR,TAKEOFF,LANDING,FILED,AREA
S01145,157ZA,I053,2018-01-02T10:00:00-05:00,2018-01-02T12:00:00-05:00,VFR,Pattern
S01188,254SE,I061,2018-01-02T10:00:00-05:00,2018-01-02T12:00:00-05:00,VFR,Pattern
S01158,217PQ,I097,2018-01-02T09:00:00-05:00,2018-01-02T11:00:00-05:00,IFR,Practice Area
S01064,684TM,I097,2018-01-02T11:00:00-05:00,2018-01-02T13:00:00-05:00,IFR,Pattern
S01051,217PQ,I032,2018-01-02T12:00:00-05:00,2018-01-02T14:00:00-05:00,IFR,Pattern
S01209,548QR,I076,2018-01-02T10:00:00-05:00,2018-01-02T12:00:00-05:00,VFR,Pattern
S01136,157ZA,I053,2018-01-02T12:00:00-05:00,2018-01-02T14:00:00-05:00,VFR,Pattern
S01133,254SE,I061,2018-01-02T12:00:00-05:00,2018-01-02T15:00:00-05:00,VFR,Practice Area
S01203,548QR,I076,2018-01-02T12:00:00-05:00,2018-01-02T14:00:00-05:00,VFR,Pattern
S01176,217PQ,I053,2018-01-02T14:00:00-05:00,2018-01-02T16:00:00-05:00,VFR,Practice Area
S00812,548QR,I060,2018-01-02T16:00:00-05:00,2018-01-02T19:00:00-05:00,VFR,Practice Area
S00980,684TM,I097,2018-01-02T13:00:00-05:00,2018-01-02T15:00:00-05:00,IFR,Practice Area
S00549,217PQ,I032,2018-01-02T16:00:00-05:00,2018-01-02T18:00:00-05:00,IFR,Pattern
S00847,157ZA,,2018-01-02T14:00:00-05:00,2018-01-02T16:00:00-05:00,IFR,Pattern
S00564,548QR,I032,2018-01-02T14:00:00-05:00,2018-01-02T16:00:00-05:00,IFR,Pattern
S01188,254SE,I061,2018-01-03T09:00:00-05:00,2018-01-03T11:00:00-05:00,VFR,Practice Area
S01082,548QR,I053,2018-01-03T09:00:00-05:00,2018-01-03T11:00:00-05:00,VFR,Pattern
S01152,157ZA,I076,2018-01-03T09:00:00-05:00,2018-01-03T11:00:00-05:00,VFR,Pattern
S00919,217PQ,,2018-01-03T08:00:00-05:00,2018-01-03T10:00:00-05:00,VFR,Pattern
S00990,217PQ,,2018-01-03T10:00:00-05:00,2018-01-03T12:00:00-05:00,VFR,Pattern
S01158,548QR,I077,2018-01-03T11:00:00-05:00,2018-01-03T13:00:00-05:00,IFR,Pattern
S01064,254SE,I060,2018-01-03T12:00:00-05:00,2018-01-03T15:00:00-05:00,IFR,Practice Area
S01051,157ZA,I032,2018-01-03T12:00:00-05:00,2018-01-03T15:00:00-05:00,IFR,Practice Area
S01209,217PQ,I053,2018-01-03T12:00:00-05:00,2018-01-03T14:00:00-05:00,VFR,Pattern
S01136,548QR,I061,2018-01-03T13:00:00-05:00,2018-01-03T16:00:00-05:00,VFR,Practice Area
S01133,217PQ,I076,2018-01-03T14:00:00-05:00,2018-01-03T16:00:00-05:00,VFR,Pattern
S00549,254SE,I032,2018-01-03T16:00:00-05:00,2018-01-03T18:00:00-05:00,IFR,Pattern
S00980,254SE,I077,2018-01-04T09:00:00-05:00,2018-01-04T11:00:00-05:00,IFR,Pattern
S00549,548QR,I060,2018-01-05T18:00:00-05:00,2018-01-05T20:00:00-05:00,IFR,Pattern
S01044,426JQ,I053,2018-01-06T09:00:00-05:00,2018-01-06T11:00:00-05:00,VFR,Pattern
S01063,811AX,I061,2018-01-06T09:00:00-05:00,2018-01-06T11:00:00-05:00,VFR,Pattern
S00887,133CZ,I072,2018-01-06T09:00:00-05:00,2018-01-06T11:00:00-05:00,VFR,Pattern
S01035,811AX,I072,2018-01-06T11:00:00-05:00,2018-01-06T13:00:00-05:00,VFR,Pattern
S01090,133CZ,I061,2018-01-06T11:00:00-05:00,2018-01-06T13:00:00-05:00,VFR,Pattern
S00904,426JQ,I053,2018-01-06T11:00:00-05:00,2018-01-06T13:00:00-05:00,VFR,Pattern
S00725,548QR,I077,2018-01-06T09:00:00-05:00,2018-01-06T11:00:00-05:00,VFR,Pattern
S01031,738GG,I097,2018-01-06T09:00:00-05:00,2018-01-06T11:00:00-05:00,VFR,Practice Area
S01175,738GG,I077,2018-01-06T11:00:00-05:00,2018-01-06T13:00:00-05:00,VFR,Pattern
S01075,684TM,I097,2018-01-06T11:00:00-05:00,2018-01-06T13:00:00-05:00,VFR,Pattern
S00836,684TM,I010,2018-01-06T08:00:00-05:00,2018-01-06T10:00:00-05:00,VFR,Pattern
S01148,157ZA,I003,2018-01-06T08:00:00-05:00,2018-01-06T12:00:00-05:00,VFR,Cross Country
S01071,254SE,I096,2018-01-06T09:00:00-05:00,2018-01-06T12:00:00-05:00,VFR,Practice Area
S00956,426JQ,I072,2018-01-06T14:00:00-05:00,2018-01-06T16:00:00-05:00,VFR,Pattern
S01213,217PQ,I010,2018-01-06T10:00:00-05:00,2018-01-06T12:00:00-05:00,VFR,Practice Area
S01121,811AX,I053,2018-01-06T14:00:00-05:00,2018-01-06T16:00:00-05:00,VFR,Practice Area
S01111,133CZ,I061,2018-01-06T14:00:00-05:00,2018-01-06T16:00:00-05:00,VFR,Pattern
